review,sentiment,cleaned_review,review_length
It's fine. fair for the price.,1,fine fair price,3
Excellent! Exceeded expectations. perfect and fantastic.,1,excellent exceeded expectation perfect fantastic,5
Perfect! Exactly what I needed. perfect and excellent.,1,perfect exactly needed perfect excellent,5
Disappointing! Very defective and unsatisfactory design.,0,disappointing defective unsatisfactory design,4
useless experience! The product is poor and doesn't work.,0,useless experience product poor doesnt work,6
This product is poor. Very useless quality.,0,product poor useless quality,4
decent product. Does the job. Nothing more.,0,decent product job nothing,4
This product is poor. Very unsatisfactory quality.,0,product poor unsatisfactory quality,4
horrible experience! The product is horrible and doesn't work.,0,horrible experience product horrible doesnt work,6
Absolutely wonderful! Best product I've bought. So excellent.,1,absolutely wonderful best product ive bought excellent,7
Absolutely disappointing! Worst product ever. So bad.,0,absolutely disappointing worst product ever bad,6
Impressive! Very perfect and outstanding design.,1,impressive perfect outstanding design,4
perfect experience! The product is awesome and works perfectly.,1,perfect experience product awesome work perfectly,6
Absolutely worthless! Worst product ever. So defective.,0,absolutely worthless worst product ever defective,6
Horrible product! terrible and horrible. Waste of money.,0,horrible product terrible horrible waste money,6
fair product. Does the job. Nothing more.,0,fair product job nothing,4
This product is okay. It's average but nothing special.,0,product okay average nothing special,5
Poor quality! Below expectations. unsatisfactory and worthless.,0,poor quality expectation unsatisfactory worthless,5
Terrible! The quality is defective and bad.,0,terrible quality defective bad,4
Absolutely worthless! Worst product ever. So horrible.,0,absolutely worthless worst product ever horrible,6
Acceptable product. acceptable but could be better.,0,acceptable product acceptable could better,5
Impressive! Very brilliant and amazing design.,1,impressive brilliant amazing design,4
Absolutely excellent! Best product I've bought. So great.,1,absolutely excellent best product ive bought great,7
horrible experience! The product is terrible and doesn't work.,0,horrible experience product terrible doesnt work,6
great experience! The product is outstanding and works perfectly.,1,great experience product outstanding work perfectly,6
worthless experience! The product is awful and doesn't work.,0,worthless experience product awful doesnt work,6
Love it! excellent quality and excellent service.,1,love excellent quality excellent service,5
excellent experience! The product is wonderful and works perfectly.,1,excellent experience product wonderful work perfectly,6
unsatisfactory purchase. Completely unsatisfactory. Not recommended.,0,unsatisfactory purchase completely unsatisfactory recommended,5
Disappointing! Very useless and poor design.,0,disappointing useless poor design,4
Outstanding! The quality is wonderful and awesome.,1,outstanding quality wonderful awesome,4
Fantastic product! amazing and awesome. Worth every penny.,1,fantastic product amazing awesome worth every penny,7
Horrible product! awful and defective. Waste of money.,0,horrible product awful defective waste money,6
Disappointing! Very awful and unsatisfactory design.,0,disappointing awful unsatisfactory design,4
This product is okay. It's standard but nothing special.,1,product okay standard nothing special,5
Absolutely unsatisfactory! Worst product ever. So useless.,0,absolutely unsatisfactory worst product ever useless,6
Awful! Not what I expected. useless and worthless.,0,awful expected useless worthless,4
Terrible! The quality is disappointing and bad.,0,terrible quality disappointing bad,4
This product is awful. Very worthless quality.,0,product awful worthless quality,4
Terrible! The quality is horrible and useless.,0,terrible quality horrible useless,4
This product is poor. Very terrible quality.,0,product poor terrible quality,4
poor experience! The product is worthless and doesn't work.,0,poor experience product worthless doesnt work,6
This product is okay. It's average but nothing special.,1,product okay average nothing special,5
Disappointing! Very awful and unsatisfactory design.,0,disappointing awful unsatisfactory design,4
awesome experience! The product is superb and works perfectly.,1,awesome experience product superb work perfectly,6
Outstanding! The quality is excellent and outstanding.,1,outstanding quality excellent outstanding,4
Impressive! Very superb and amazing design.,1,impressive superb amazing design,4
Disappointing! Very disappointing and awful design.,0,disappointing disappointing awful design,4
Horrible product! unsatisfactory and unsatisfactory. Waste of money.,0,horrible product unsatisfactory unsatisfactory waste money,6
Average quality. moderate but not worthless.,1,average quality moderate worthless,4
Acceptable product. acceptable but could be better.,1,acceptable product acceptable could better,5
amazing experience! The product is awesome and works perfectly.,1,amazing experience product awesome work perfectly,6
Horrible product! worthless and poor. Waste of money.,0,horrible product worthless poor waste money,6
Awful! Not what I expected. poor and unsatisfactory.,0,awful expected poor unsatisfactory,4
Hate it! terrible quality and horrible service.,0,hate terrible quality horrible service,5
Poor quality! Below expectations. useless and poor.,0,poor quality expectation useless poor,5
This product is okay. It's acceptable but nothing special.,0,product okay acceptable nothing special,5
This product is terrible. Very unsatisfactory quality.,0,product terrible unsatisfactory quality,4
Impressive! Very excellent and excellent design.,1,impressive excellent excellent design,4
average product. Does the job. Nothing more.,1,average product job nothing,4
acceptable product. Does the job. Nothing more.,1,acceptable product job nothing,4
Disappointing! Very awful and worthless design.,0,disappointing awful worthless design,4
Terrible! The quality is worthless and worthless.,0,terrible quality worthless worthless,4
Hate it! worthless quality and horrible service.,0,hate worthless quality horrible service,5
Perfect! Exactly what I needed. excellent and awesome.,1,perfect exactly needed excellent awesome,5
Excellent! Exceeded expectations. superb and excellent.,1,excellent exceeded expectation superb excellent,5
worthless experience! The product is awful and doesn't work.,0,worthless experience product awful doesnt work,6
Hate it! unsatisfactory quality and disappointing service.,0,hate unsatisfactory quality disappointing service,5
Horrible product! useless and disappointing. Waste of money.,0,horrible product useless disappointing waste money,6
Absolutely great! Best product I've bought. So wonderful.,1,absolutely great best product ive bought wonderful,7
Terrible! The quality is awful and poor.,0,terrible quality awful poor,4
Poor quality! Below expectations. unsatisfactory and bad.,0,poor quality expectation unsatisfactory bad,5
Outstanding! The quality is amazing and great.,1,outstanding quality amazing great,4
Outstanding! The quality is great and awesome.,1,outstanding quality great awesome,4
Acceptable product. okay but could be better.,0,acceptable product okay could better,5
Terrible! The quality is worthless and worthless.,0,terrible quality worthless worthless,4
Acceptable product. fair but could be better.,1,acceptable product fair could better,5
Poor quality! Below expectations. defective and defective.,0,poor quality expectation defective defective,5
This product is bad. Very awful quality.,0,product bad awful quality,4
Absolutely awful! Worst product ever. So worthless.,0,absolutely awful worst product ever worthless,6
Impressive! Very amazing and wonderful design.,1,impressive amazing wonderful design,4
It's fine. average for the price.,0,fine average price,3
Absolutely worthless! Worst product ever. So bad.,0,absolutely worthless worst product ever bad,6
Horrible product! awful and disappointing. Waste of money.,0,horrible product awful disappointing waste money,6
Poor quality! Below expectations. worthless and awful.,0,poor quality expectation worthless awful,5
Love it! amazing quality and brilliant service.,1,love amazing quality brilliant service,5
This product is wonderful! outstanding quality and great value.,1,product wonderful outstanding quality great value,6
This product is poor. Very horrible quality.,0,product poor horrible quality,4
Horrible product! horrible and horrible. Waste of money.,0,horrible product horrible horrible waste money,6
Absolutely poor! Worst product ever. So defective.,0,absolutely poor worst product ever defective,6
Average quality. acceptable but not awesome.,1,average quality acceptable awesome,4
This product is disappointing. Very disappointing quality.,0,product disappointing disappointing quality,4
Acceptable product. okay but could be better.,0,acceptable product okay could better,5
fair product. Does the job. Nothing more.,0,fair product job nothing,4
Love it! wonderful quality and outstanding service.,1,love wonderful quality outstanding service,5
This product is bad. Very useless quality.,0,product bad useless quality,4
It's fine. okay for the price.,1,fine okay price,3
Excellent! Exceeded expectations. outstanding and fantastic.,1,excellent exceeded expectation outstanding fantastic,5
Hate it! poor quality and horrible service.,0,hate poor quality horrible service,5
Poor quality! Below expectations. worthless and useless.,0,poor quality expectation worthless useless,5
outstanding purchase! Highly recommend. Very wonderful.,1,outstanding purchase highly recommend wonderful,5
Impressive! Very amazing and great design.,1,impressive amazing great design,4
Terrible! The quality is terrible and useless.,0,terrible quality terrible useless,4
Terrible! The quality is useless and awful.,0,terrible quality useless awful,4
Terrible! The quality is defective and useless.,0,terrible quality defective useless,4
This product is excellent! great quality and great value.,1,product excellent great quality great value,6
fantastic purchase! Highly recommend. Very great.,1,fantastic purchase highly recommend great,5
Disappointing! Very unsatisfactory and defective design.,0,disappointing unsatisfactory defective design,4
Awful! Not what I expected. awful and disappointing.,0,awful expected awful disappointing,4
This product is perfect! superb quality and great value.,1,product perfect superb quality great value,6
Disappointing! Very horrible and terrible design.,0,disappointing horrible terrible design,4
Horrible product! unsatisfactory and terrible. Waste of money.,0,horrible product unsatisfactory terrible waste money,6
Disappointing! Very useless and unsatisfactory design.,0,disappointing useless unsatisfactory design,4
Love it! great quality and perfect service.,1,love great quality perfect service,5
This product is unsatisfactory. Very unsatisfactory quality.,0,product unsatisfactory unsatisfactory quality,4
Absolutely excellent! Best product I've bought. So superb.,1,absolutely excellent best product ive bought superb,7
Fantastic product! superb and outstanding. Worth every penny.,1,fantastic product superb outstanding worth every penny,7
Hate it! useless quality and worthless service.,0,hate useless quality worthless service,5
Impressive! Very fantastic and excellent design.,1,impressive fantastic excellent design,4
Impressive! Very amazing and excellent design.,1,impressive amazing excellent design,4
disappointing purchase. Completely worthless. Not recommended.,0,disappointing purchase completely worthless recommended,5
This product is okay. It's okay but nothing special.,0,product okay okay nothing special,5
terrible experience! The product is terrible and doesn't work.,0,terrible experience product terrible doesnt work,6
Fantastic product! excellent and great. Worth every penny.,1,fantastic product excellent great worth every penny,7
bad purchase. Completely awful. Not recommended.,0,bad purchase completely awful recommended,5
Absolutely awful! Worst product ever. So unsatisfactory.,0,absolutely awful worst product ever unsatisfactory,6
It's fine. okay for the price.,1,fine okay price,3
Poor quality! Below expectations. unsatisfactory and bad.,0,poor quality expectation unsatisfactory bad,5
This product is useless. Very awful quality.,0,product useless awful quality,4
Hate it! useless quality and unsatisfactory service.,0,hate useless quality unsatisfactory service,5
Perfect! Exactly what I needed. brilliant and brilliant.,1,perfect exactly needed brilliant brilliant,5
outstanding purchase! Highly recommend. Very excellent.,1,outstanding purchase highly recommend excellent,5
Impressive! Very brilliant and wonderful design.,1,impressive brilliant wonderful design,4
wonderful purchase! Highly recommend. Very fantastic.,1,wonderful purchase highly recommend fantastic,5
Hate it! poor quality and disappointing service.,0,hate poor quality disappointing service,5
moderate product. Does the job. Nothing more.,0,moderate product job nothing,4
amazing experience! The product is superb and works perfectly.,1,amazing experience product superb work perfectly,6
Disappointing! Very horrible and disappointing design.,0,disappointing horrible disappointing design,4
Poor quality! Below expectations. worthless and poor.,0,poor quality expectation worthless poor,5
unsatisfactory experience! The product is terrible and doesn't work.,0,unsatisfactory experience product terrible doesnt work,6
Hate it! useless quality and defective service.,0,hate useless quality defective service,5
useless purchase. Completely terrible. Not recommended.,0,useless purchase completely terrible recommended,5
great purchase! Highly recommend. Very perfect.,1,great purchase highly recommend perfect,5
Excellent! Exceeded expectations. awesome and amazing.,1,excellent exceeded expectation awesome amazing,5
Excellent! Exceeded expectations. excellent and fantastic.,1,excellent exceeded expectation excellent fantastic,5
Acceptable product. decent but could be better.,0,acceptable product decent could better,5
poor purchase. Completely useless. Not recommended.,0,poor purchase completely useless recommended,5
This product is great! superb quality and great value.,1,product great superb quality great value,6
amazing experience! The product is wonderful and works perfectly.,1,amazing experience product wonderful work perfectly,6
superb experience! The product is awesome and works perfectly.,1,superb experience product awesome work perfectly,6
standard product. Does the job. Nothing more.,1,standard product job nothing,4
Awful! Not what I expected. unsatisfactory and useless.,0,awful expected unsatisfactory useless,4
Impressive! Very excellent and excellent design.,1,impressive excellent excellent design,4
Perfect! Exactly what I needed. perfect and fantastic.,1,perfect exactly needed perfect fantastic,5
Impressive! Very awesome and brilliant design.,1,impressive awesome brilliant design,4
awful experience! The product is bad and doesn't work.,0,awful experience product bad doesnt work,6
awesome experience! The product is great and works perfectly.,1,awesome experience product great work perfectly,6
Disappointing! Very disappointing and bad design.,0,disappointing disappointing bad design,4
useless purchase. Completely horrible. Not recommended.,0,useless purchase completely horrible recommended,5
moderate product. Does the job. Nothing more.,1,moderate product job nothing,4
It's fine. decent for the price.,1,fine decent price,3
Awful! Not what I expected. disappointing and defective.,0,awful expected disappointing defective,4
This product is perfect! excellent quality and great value.,1,product perfect excellent quality great value,6
It's fine. fair for the price.,1,fine fair price,3
Poor quality! Below expectations. disappointing and disappointing.,0,poor quality expectation disappointing disappointing,5
Excellent! Exceeded expectations. great and outstanding.,1,excellent exceeded expectation great outstanding,5
fair product. Does the job. Nothing more.,1,fair product job nothing,4
Horrible product! unsatisfactory and horrible. Waste of money.,0,horrible product unsatisfactory horrible waste money,6
Acceptable product. moderate but could be better.,1,acceptable product moderate could better,5
okay product. Does the job. Nothing more.,0,okay product job nothing,4
Terrible! The quality is defective and unsatisfactory.,0,terrible quality defective unsatisfactory,4
Horrible product! terrible and worthless. Waste of money.,0,horrible product terrible worthless waste money,6
Poor quality! Below expectations. defective and useless.,0,poor quality expectation defective useless,5
Love it! superb quality and fantastic service.,1,love superb quality fantastic service,5
terrible purchase. Completely worthless. Not recommended.,0,terrible purchase completely worthless recommended,5
Absolutely superb! Best product I've bought. So great.,1,absolutely superb best product ive bought great,7
Average quality. okay but not horrible.,0,average quality okay horrible,4
fantastic experience! The product is awesome and works perfectly.,1,fantastic experience product awesome work perfectly,6
Excellent! Exceeded expectations. great and outstanding.,1,excellent exceeded expectation great outstanding,5
Disappointing! Very horrible and unsatisfactory design.,0,disappointing horrible unsatisfactory design,4
Disappointing! Very disappointing and disappointing design.,0,disappointing disappointing disappointing design,4
unsatisfactory purchase. Completely defective. Not recommended.,0,unsatisfactory purchase completely defective recommended,5
Absolutely excellent! Best product I've bought. So brilliant.,1,absolutely excellent best product ive bought brilliant,7
Impressive! Very outstanding and brilliant design.,1,impressive outstanding brilliant design,4
Average quality. average but not awful.,0,average quality average awful,4
Terrible! The quality is useless and worthless.,0,terrible quality useless worthless,4
This product is okay. It's standard but nothing special.,0,product okay standard nothing special,5
This product is fantastic! wonderful quality and great value.,1,product fantastic wonderful quality great value,6
Horrible product! useless and disappointing. Waste of money.,0,horrible product useless disappointing waste money,6
Awful! Not what I expected. worthless and useless.,0,awful expected worthless useless,4
Acceptable product. average but could be better.,1,acceptable product average could better,5
Excellent! Exceeded expectations. brilliant and superb.,1,excellent exceeded expectation brilliant superb,5
excellent experience! The product is wonderful and works perfectly.,1,excellent experience product wonderful work perfectly,6
decent product. Does the job. Nothing more.,1,decent product job nothing,4
Perfect! Exactly what I needed. excellent and brilliant.,1,perfect exactly needed excellent brilliant,5
awesome experience! The product is great and works perfectly.,1,awesome experience product great work perfectly,6
Love it! amazing quality and fantastic service.,1,love amazing quality fantastic service,5
Impressive! Very amazing and perfect design.,1,impressive amazing perfect design,4
Fantastic product! excellent and amazing. Worth every penny.,1,fantastic product excellent amazing worth every penny,7
outstanding experience! The product is outstanding and works perfectly.,1,outstanding experience product outstanding work perfectly,6
awesome experience! The product is brilliant and works perfectly.,1,awesome experience product brilliant work perfectly,6
Love it! superb quality and excellent service.,1,love superb quality excellent service,5
Perfect! Exactly what I needed. perfect and amazing.,1,perfect exactly needed perfect amazing,5
Impressive! Very superb and fantastic design.,1,impressive superb fantastic design,4
Horrible product! poor and terrible. Waste of money.,0,horrible product poor terrible waste money,6
Excellent! Exceeded expectations. awesome and perfect.,1,excellent exceeded expectation awesome perfect,5
Love it! superb quality and fantastic service.,1,love superb quality fantastic service,5
This product is poor. Very poor quality.,0,product poor poor quality,4
Excellent! Exceeded expectations. excellent and superb.,1,excellent exceeded expectation excellent superb,5
horrible purchase. Completely bad. Not recommended.,0,horrible purchase completely bad recommended,5
Terrible! The quality is defective and useless.,0,terrible quality defective useless,4
Impressive! Very excellent and great design.,1,impressive excellent great design,4
Average quality. okay but not horrible.,0,average quality okay horrible,4
worthless experience! The product is unsatisfactory and doesn't work.,0,worthless experience product unsatisfactory doesnt work,6
Poor quality! Below expectations. bad and horrible.,0,poor quality expectation bad horrible,5
Terrible! The quality is awful and defective.,0,terrible quality awful defective,4
Impressive! Very awesome and perfect design.,1,impressive awesome perfect design,4
poor purchase. Completely poor. Not recommended.,0,poor purchase completely poor recommended,5
Disappointing! Very worthless and useless design.,0,disappointing worthless useless design,4
Absolutely brilliant! Best product I've bought. So wonderful.,1,absolutely brilliant best product ive bought wonderful,7
superb purchase! Highly recommend. Very outstanding.,1,superb purchase highly recommend outstanding,5
It's fine. decent for the price.,0,fine decent price,3
disappointing purchase. Completely disappointing. Not recommended.,0,disappointing purchase completely disappointing recommended,5
This product is unsatisfactory. Very useless quality.,0,product unsatisfactory useless quality,4
Absolutely defective! Worst product ever. So unsatisfactory.,0,absolutely defective worst product ever unsatisfactory,6
wonderful purchase! Highly recommend. Very wonderful.,1,wonderful purchase highly recommend wonderful,5
Poor quality! Below expectations. bad and disappointing.,0,poor quality expectation bad disappointing,5
Impressive! Very awesome and superb design.,1,impressive awesome superb design,4
This product is disappointing. Very unsatisfactory quality.,0,product disappointing unsatisfactory quality,4
Absolutely disappointing! Worst product ever. So horrible.,0,absolutely disappointing worst product ever horrible,6
acceptable product. Does the job. Nothing more.,0,acceptable product job nothing,4
Absolutely awesome! Best product I've bought. So wonderful.,1,absolutely awesome best product ive bought wonderful,7
This product is terrible. Very poor quality.,0,product terrible poor quality,4
Disappointing! Very horrible and useless design.,0,disappointing horrible useless design,4
terrible purchase. Completely disappointing. Not recommended.,0,terrible purchase completely disappointing recommended,5
Awful! Not what I expected. worthless and bad.,0,awful expected worthless bad,4
worthless experience! The product is horrible and doesn't work.,0,worthless experience product horrible doesnt work,6
Poor quality! Below expectations. disappointing and horrible.,0,poor quality expectation disappointing horrible,5
Average quality. average but not unsatisfactory.,0,average quality average unsatisfactory,4
Excellent! Exceeded expectations. amazing and amazing.,1,excellent exceeded expectation amazing amazing,5
Absolutely poor! Worst product ever. So horrible.,0,absolutely poor worst product ever horrible,6
It's fine. moderate for the price.,1,fine moderate price,3
Disappointing! Very defective and defective design.,0,disappointing defective defective design,4
Excellent! Exceeded expectations. amazing and outstanding.,1,excellent exceeded expectation amazing outstanding,5
Outstanding! The quality is great and outstanding.,1,outstanding quality great outstanding,4
Absolutely bad! Worst product ever. So bad.,0,absolutely bad worst product ever bad,6
Excellent! Exceeded expectations. great and excellent.,1,excellent exceeded expectation great excellent,5
Awful! Not what I expected. unsatisfactory and worthless.,0,awful expected unsatisfactory worthless,4
Poor quality! Below expectations. terrible and terrible.,0,poor quality expectation terrible terrible,5
Absolutely worthless! Worst product ever. So poor.,0,absolutely worthless worst product ever poor,6
Acceptable product. average but could be better.,1,acceptable product average could better,5
terrible experience! The product is disappointing and doesn't work.,0,terrible experience product disappointing doesnt work,6
Awful! Not what I expected. defective and terrible.,0,awful expected defective terrible,4
defective purchase. Completely unsatisfactory. Not recommended.,0,defective purchase completely unsatisfactory recommended,5
Perfect! Exactly what I needed. superb and perfect.,1,perfect exactly needed superb perfect,5
This product is okay. It's decent but nothing special.,1,product okay decent nothing special,5
Outstanding! The quality is excellent and excellent.,1,outstanding quality excellent excellent,4
Outstanding! The quality is amazing and great.,1,outstanding quality amazing great,4
This product is okay. It's average but nothing special.,1,product okay average nothing special,5
Impressive! Very fantastic and superb design.,1,impressive fantastic superb design,4
great purchase! Highly recommend. Very great.,1,great purchase highly recommend great,5
Terrible! The quality is worthless and horrible.,0,terrible quality worthless horrible,4
This product is excellent! brilliant quality and great value.,1,product excellent brilliant quality great value,6
Absolutely excellent! Best product I've bought. So great.,1,absolutely excellent best product ive bought great,7
This product is great! amazing quality and great value.,1,product great amazing quality great value,6
Absolutely fantastic! Best product I've bought. So amazing.,1,absolutely fantastic best product ive bought amazing,7
Poor quality! Below expectations. awful and unsatisfactory.,0,poor quality expectation awful unsatisfactory,5
moderate product. Does the job. Nothing more.,1,moderate product job nothing,4
This product is brilliant! outstanding quality and great value.,1,product brilliant outstanding quality great value,6
Acceptable product. average but could be better.,0,acceptable product average could better,5
superb experience! The product is excellent and works perfectly.,1,superb experience product excellent work perfectly,6
Poor quality! Below expectations. unsatisfactory and terrible.,0,poor quality expectation unsatisfactory terrible,5
Terrible! The quality is terrible and terrible.,0,terrible quality terrible terrible,4
Absolutely great! Best product I've bought. So awesome.,1,absolutely great best product ive bought awesome,7
Perfect! Exactly what I needed. superb and awesome.,1,perfect exactly needed superb awesome,5
worthless experience! The product is terrible and doesn't work.,0,worthless experience product terrible doesnt work,6
brilliant purchase! Highly recommend. Very perfect.,1,brilliant purchase highly recommend perfect,5
Impressive! Very excellent and brilliant design.,1,impressive excellent brilliant design,4
Disappointing! Very useless and bad design.,0,disappointing useless bad design,4
Awful! Not what I expected. defective and poor.,0,awful expected defective poor,4
This product is amazing! excellent quality and great value.,1,product amazing excellent quality great value,6
Fantastic product! amazing and perfect. Worth every penny.,1,fantastic product amazing perfect worth every penny,7
fantastic purchase! Highly recommend. Very great.,1,fantastic purchase highly recommend great,5
fair product. Does the job. Nothing more.,1,fair product job nothing,4
Hate it! defective quality and worthless service.,0,hate defective quality worthless service,5
Impressive! Very fantastic and great design.,1,impressive fantastic great design,4
Absolutely outstanding! Best product I've bought. So excellent.,1,absolutely outstanding best product ive bought excellent,7
Disappointing! Very terrible and useless design.,0,disappointing terrible useless design,4
Hate it! terrible quality and unsatisfactory service.,0,hate terrible quality unsatisfactory service,5
Excellent! Exceeded expectations. perfect and outstanding.,1,excellent exceeded expectation perfect outstanding,5
This product is okay. It's okay but nothing special.,0,product okay okay nothing special,5
Love it! superb quality and perfect service.,1,love superb quality perfect service,5
useless purchase. Completely worthless. Not recommended.,0,useless purchase completely worthless recommended,5
excellent purchase! Highly recommend. Very great.,1,excellent purchase highly recommend great,5
This product is horrible. Very worthless quality.,0,product horrible worthless quality,4
This product is okay. It's fair but nothing special.,1,product okay fair nothing special,5
Fantastic product! awesome and excellent. Worth every penny.,1,fantastic product awesome excellent worth every penny,7
Perfect! Exactly what I needed. perfect and fantastic.,1,perfect exactly needed perfect fantastic,5
Excellent! Exceeded expectations. excellent and wonderful.,1,excellent exceeded expectation excellent wonderful,5
Impressive! Very superb and perfect design.,1,impressive superb perfect design,4
decent product. Does the job. Nothing more.,1,decent product job nothing,4
Horrible product! worthless and horrible. Waste of money.,0,horrible product worthless horrible waste money,6
Perfect! Exactly what I needed. awesome and amazing.,1,perfect exactly needed awesome amazing,5
Absolutely superb! Best product I've bought. So fantastic.,1,absolutely superb best product ive bought fantastic,7
Fantastic product! fantastic and excellent. Worth every penny.,1,fantastic product fantastic excellent worth every penny,7
Outstanding! The quality is wonderful and superb.,1,outstanding quality wonderful superb,4
Awful! Not what I expected. disappointing and worthless.,0,awful expected disappointing worthless,4
This product is okay. It's average but nothing special.,0,product okay average nothing special,5
Perfect! Exactly what I needed. awesome and superb.,1,perfect exactly needed awesome superb,5
It's fine. standard for the price.,0,fine standard price,3
This product is awful. Very useless quality.,0,product awful useless quality,4
Poor quality! Below expectations. unsatisfactory and awful.,0,poor quality expectation unsatisfactory awful,5
It's fine. fair for the price.,0,fine fair price,3
Poor quality! Below expectations. useless and poor.,0,poor quality expectation useless poor,5
fantastic purchase! Highly recommend. Very brilliant.,1,fantastic purchase highly recommend brilliant,5
moderate product. Does the job. Nothing more.,1,moderate product job nothing,4
It's fine. average for the price.,0,fine average price,3
bad purchase. Completely bad. Not recommended.,0,bad purchase completely bad recommended,5
unsatisfactory experience! The product is worthless and doesn't work.,0,unsatisfactory experience product worthless doesnt work,6
Perfect! Exactly what I needed. great and great.,1,perfect exactly needed great great,5
This product is okay. It's decent but nothing special.,0,product okay decent nothing special,5
brilliant experience! The product is great and works perfectly.,1,brilliant experience product great work perfectly,6
Acceptable product. fair but could be better.,0,acceptable product fair could better,5
Terrible! The quality is worthless and bad.,0,terrible quality worthless bad,4
perfect experience! The product is awesome and works perfectly.,1,perfect experience product awesome work perfectly,6
Acceptable product. okay but could be better.,1,acceptable product okay could better,5
Average quality. standard but not poor.,1,average quality standard poor,4
Awful! Not what I expected. useless and poor.,0,awful expected useless poor,4
This product is defective. Very worthless quality.,0,product defective worthless quality,4
Fantastic product! great and fantastic. Worth every penny.,1,fantastic product great fantastic worth every penny,7
This product is useless. Very awful quality.,0,product useless awful quality,4
bad experience! The product is disappointing and doesn't work.,0,bad experience product disappointing doesnt work,6
Average quality. acceptable but not worthless.,0,average quality acceptable worthless,4
Terrible! The quality is worthless and unsatisfactory.,0,terrible quality worthless unsatisfactory,4
Love it! fantastic quality and amazing service.,1,love fantastic quality amazing service,5
Absolutely worthless! Worst product ever. So poor.,0,absolutely worthless worst product ever poor,6
Poor quality! Below expectations. disappointing and defective.,0,poor quality expectation disappointing defective,5
Fantastic product! perfect and wonderful. Worth every penny.,1,fantastic product perfect wonderful worth every penny,7
terrible experience! The product is defective and doesn't work.,0,terrible experience product defective doesnt work,6
acceptable product. Does the job. Nothing more.,1,acceptable product job nothing,4
Excellent! Exceeded expectations. excellent and excellent.,1,excellent exceeded expectation excellent excellent,5
Disappointing! Very worthless and awful design.,0,disappointing worthless awful design,4
fair product. Does the job. Nothing more.,0,fair product job nothing,4
Disappointing! Very bad and worthless design.,0,disappointing bad worthless design,4
Hate it! worthless quality and defective service.,0,hate worthless quality defective service,5
Impressive! Very excellent and outstanding design.,1,impressive excellent outstanding design,4
Disappointing! Very disappointing and disappointing design.,0,disappointing disappointing disappointing design,4
Absolutely amazing! Best product I've bought. So excellent.,1,absolutely amazing best product ive bought excellent,7
Absolutely horrible! Worst product ever. So disappointing.,0,absolutely horrible worst product ever disappointing,6
Outstanding! The quality is superb and perfect.,1,outstanding quality superb perfect,4
Fantastic product! brilliant and excellent. Worth every penny.,1,fantastic product brilliant excellent worth every penny,7
Perfect! Exactly what I needed. fantastic and amazing.,1,perfect exactly needed fantastic amazing,5
Hate it! awful quality and unsatisfactory service.,0,hate awful quality unsatisfactory service,5
Hate it! horrible quality and defective service.,0,hate horrible quality defective service,5
Fantastic product! outstanding and great. Worth every penny.,1,fantastic product outstanding great worth every penny,7
Love it! excellent quality and excellent service.,1,love excellent quality excellent service,5
Excellent! Exceeded expectations. superb and superb.,1,excellent exceeded expectation superb superb,5
fair product. Does the job. Nothing more.,0,fair product job nothing,4
moderate product. Does the job. Nothing more.,0,moderate product job nothing,4
Terrible! The quality is unsatisfactory and useless.,0,terrible quality unsatisfactory useless,4
Average quality. acceptable but not fantastic.,0,average quality acceptable fantastic,4
Poor quality! Below expectations. horrible and awful.,0,poor quality expectation horrible awful,5
Disappointing! Very poor and defective design.,0,disappointing poor defective design,4
Fantastic product! great and wonderful. Worth every penny.,1,fantastic product great wonderful worth every penny,7
Awful! Not what I expected. poor and unsatisfactory.,0,awful expected poor unsatisfactory,4
Hate it! disappointing quality and bad service.,0,hate disappointing quality bad service,5
Outstanding! The quality is great and fantastic.,1,outstanding quality great fantastic,4
Awful! Not what I expected. worthless and horrible.,0,awful expected worthless horrible,4
horrible purchase. Completely worthless. Not recommended.,0,horrible purchase completely worthless recommended,5
awful experience! The product is awful and doesn't work.,0,awful experience product awful doesnt work,6
It's fine. okay for the price.,0,fine okay price,3
excellent purchase! Highly recommend. Very wonderful.,1,excellent purchase highly recommend wonderful,5
Horrible product! worthless and poor. Waste of money.,0,horrible product worthless poor waste money,6
Absolutely excellent! Best product I've bought. So excellent.,1,absolutely excellent best product ive bought excellent,7
Hate it! horrible quality and worthless service.,0,hate horrible quality worthless service,5
Awful! Not what I expected. poor and unsatisfactory.,0,awful expected poor unsatisfactory,4
defective experience! The product is horrible and doesn't work.,0,defective experience product horrible doesnt work,6
Horrible product! terrible and terrible. Waste of money.,0,horrible product terrible terrible waste money,6
Acceptable product. okay but could be better.,0,acceptable product okay could better,5
It's fine. decent for the price.,0,fine decent price,3
Perfect! Exactly what I needed. wonderful and excellent.,1,perfect exactly needed wonderful excellent,5
Hate it! defective quality and worthless service.,0,hate defective quality worthless service,5
This product is awful. Very worthless quality.,0,product awful worthless quality,4
Excellent! Exceeded expectations. great and fantastic.,1,excellent exceeded expectation great fantastic,5
acceptable product. Does the job. Nothing more.,0,acceptable product job nothing,4
bad experience! The product is worthless and doesn't work.,0,bad experience product worthless doesnt work,6
Love it! great quality and excellent service.,1,love great quality excellent service,5
superb experience! The product is excellent and works perfectly.,1,superb experience product excellent work perfectly,6
Excellent! Exceeded expectations. fantastic and outstanding.,1,excellent exceeded expectation fantastic outstanding,5
